Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
2018-09-07,2075.3,2079.3,2084.0,2065.4,2078.75,2079.85,2076.27,1312182,2724446612.15,91094
2018-09-10,2079.85,2084.4,2093.4,2074.25,2084.0,2080.75,2083.98,1530539,3189620194.9,96119
2018-09-11,2080.75,2089.0,2089.0,2042.2,2045.15,2046.25,2055.93,3679745,7565314867.5,153230
2018-09-12,2046.25,2052.35,2068.9,2040.0,2045.0,2043.95,2048.93,2307661,4728228780.2,135528
2018-09-14,2043.95,2044.0,2071.55,2018.15,2066.95,2065.4,2042.02,3642038,7437129776.35,160266
2018-09-17,2065.4,2070.0,2077.8,2054.55,2072.0,2074.15,2067.17,1033857,2137157571.1,66371
2018-09-18,2074.15,2073.0,2078.8,2057.6,2074.0,2070.75,2069.75,1456507,3014609448.25,77936
2018-09-19,2070.75,2071.9,2089.0,2066.85,2076.0,2077.9,2081.53,1301268,2708622535.5,122321
2018-09-21,2077.9,2077.0,2121.0,2050.15,2111.9,2103.15,2083.75,4508530,9394632968.15,163985
2018-09-24,2103.15,2115.0,2210.5,2098.15,2208.0,2198.45,2168.27,3032226,6574669912.9,134605
2018-09-25,2198.45,2204.9,2211.9,2153.8,2183.1,2183.2,2186.15,2868778,6271565161.1,141519
2018-09-26,2183.2,2187.0,2199.0,2135.1,2147.15,2142.15,2161.8,1970951,4260808099.45,95921
2018-09-27,2142.15,2141.9,2209.7,2135.8,2185.0,2188.85,2175.57,3311802,7205048027.4,110444
2018-09-28,2188.85,2178.0,2190.0,2158.85,2186.0,2183.7,2177.54,2904371,6324389223.4,150520
2018-10-01,2183.7,2190.9,2275.95,2190.35,2250.3,2255.55,2242.36,3772208,8458652684.9,201352
2018-10-03,2255.55,2250.3,2255.0,2155.6,2156.65,2162.85,2195.08,3902322,8565892400.85,205361
2018-10-04,2162.85,2156.6,2156.65,2056.35,2063.0,2064.8,2084.35,4762419,9926539004.55,190870
2018-10-05,2064.8,2050.0,2120.0,2020.9,2100.0,2102.65,2079.05,3417624,7105425699.55,141442
2018-10-08,2102.65,2102.65,2122.2,2048.15,2077.4,2077.55,2074.99,2010154,4171051462.05,133651
2018-10-09,2077.55,2080.35,2107.65,2053.2,2093.2,2091.8,2086.07,1867130,3894967407.8,95316
2018-10-10,2091.8,2100.0,2105.95,2029.0,2044.0,2043.6,2063.1,2749573,5672634238.6,185433
2018-10-11,2043.6,1985.0,2013.0,1941.0,1995.0,1979.95,1984.8,4700256,9329052362.35,217064
